skill,count
sql,408
excel,295
python,233
1с,124
api,115
power bi,99
jira,91
confluence,84
postgresql,82
a/b,71
tableau,66
etl,66
pandas,63
ml,60
clickhouse,54
power query,51
kafka,47
airflow,43
superset,41
oracle,35
numpy,35
greenplum,34
hadoop,30
git,29
spark,23
datalens,19
qlik,16
google sheets,14
mysql,13
matplotlib,13
scikit,10
metabase,10
машинное обучение,6
dbt,6
mongodb,6
trino,5
looker,3
redshift,2
битрикс,1
