title,company,salary,link,experience,grade,remote,metro,query,skills_found,published_date
Старший менеджер по аналитике,"X5, Управляющая компания",Не указана,https://hh.ru/vacancy/132480947,Опыт 3-6 лет,senior,Нет,Добрынинская,аналитик данных,"python, sql, excel, google sheets, airflow, pandas, numpy, a/b",
Аналитик-разработчик BI,ООО Фитокосметик,Не указана,https://hh.ru/vacancy/133191804,Опыт 3-6 лет,не указан,Нет,Воронцовская,аналитик данных,"sql, power bi, excel, power query, 1с",
Бизнес‑аналитик (CRM/DMS),ООО ТЕНЕТ РУС,Не указана,https://hh.ru/vacancy/131922637,Опыт 3-6 лет,не указан,Нет,Балтийская,аналитик данных,"power bi, 1с",
BI-аналитик (в офисе),ООО Современные коммуникационные технологии,Не указана,https://hh.ru/vacancy/132518722,Опыт 3-6 лет,не указан,Нет,Говорово,аналитик данных,"sql, postgresql, power bi, datalens, excel, a/b",
Финансовый менеджер/Финансовый аналитик,ООО Литте,Не указана,https://hh.ru/vacancy/132981218,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,"excel, google sheets",
Аналитик данных / Аккаунт менеджер,Медиагруппа Комсомольская правда,Не указана,https://hh.ru/vacancy/133401670,Опыт 1-3 года,не указан,Нет,Бутырская,аналитик данных,Не найдено,
"Аналитик данных (транспорт, предиктивная аналитика)",ИП Гринькова Светлана Борисовна,Не указана,https://hh.ru/vacancy/133383650,Опыт 1-3 года,не указан,Да,Не указано,аналитик данных,"python, sql, машинное обучение",
Системный аналитик (Senior) / Product Architect,ООО МАГ Девелопмент,Не указана,https://hh.ru/vacancy/132768463,Опыт более 6 лет,senior,Нет,Белорусская,аналитик данных,Не найдено,
Стажер-аналитик продаж / Intern sales,ООО Гарантис трейд,Не указана,https://hh.ru/vacancy/132993008,Без опыта,не указан,Нет,Бауманская,аналитик данных,excel,
"Стажер (продажи, аналитика, IT)",ООО Медико-фармацевтический дистрибьютор,Не указана,https://hh.ru/vacancy/132824802,Без опыта,не указан,Нет,Не указано,аналитик данных,"excel, 1с",
Аналитик-разработчик таблиц для работы с маркетплейсами (Wildberries),Бурлов Андрей,Не указана,https://hh.ru/vacancy/133372798,Опыт 1-3 года,не указан,Да,Деловой центр,аналитик данных,"google sheets, api",
Эксперт по товарной аналитике,OSTIN. Офис и мастерская,Не указана,https://hh.ru/vacancy/133046239,Опыт 3-6 лет,не указан,Нет,Аэропорт,аналитик данных,Не найдено,
Старший аналитик данных (ИИ-агенты) / Senior Business Data Analyst (Agentic Analytics),Gauss Money,Не указана,https://hh.ru/vacancy/132935051,Опыт 1-3 года,senior,Да,Не указано,аналитик данных,"python, sql, postgresql, pandas, api",
"Аналитик товаров / Категорийный менеджер / Продуктовый аналитик маркетплейсы (Одежда, Wildberries)",ООО Ройал Текс,Не указана,https://hh.ru/vacancy/133123653,Без опыта,не указан,Да,Не указано,аналитик данных,excel,
Бизнес-аналитик (разработка КБС/биометрия),Инфотекс Интернет Траст,Не указана,https://hh.ru/vacancy/132987456,Опыт 3-6 лет,не указан,Нет,Гражданская,аналитик данных,Не найдено,
Эксперт аналитик ЦФТ (PL+/ PLSQL),Газпромбанк. IT&Digital.Аналитика,Не указана,https://hh.ru/vacancy/132362500,Опыт 3-6 лет,не указан,Да,Добрынинская,аналитик данных,Не найдено,
Аналитик баз данных / Data Analyst,ООО Уффици Лимитед,Не указана,https://hh.ru/vacancy/132596458,Опыт 1-3 года,не указан,Нет,Киевская,аналитик данных,"python, sql, power bi, tableau, excel, google sheets, pandas, numpy",
Бизнес аналитик,VVP Group,Не указана,https://hh.ru/vacancy/130759087,Без опыта,не указан,Нет,Речной вокзал,аналитик данных,"sql, 1с",
Финансовый аналитик (в ИТ-компанию),Avanpost,Не указана,https://hh.ru/vacancy/133128662,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,"excel, 1с",
Старший аналитик,"""МТС"", Аналитика",Не указана,https://hh.ru/vacancy/133266967,Опыт 1-3 года,senior,Нет,Киевская,аналитик данных,"python, sql, excel",
Младший аналитик / Аналитик в команду Клиентских иследований,Frank RG,Не указана,https://hh.ru/vacancy/133106430,Опыт 1-3 года,junior,Нет,Не указано,аналитик данных,excel,
Разработчик Power BI (BI-аналитик),"Красное & Белое, розничная сеть",Не указана,https://hh.ru/vacancy/131039485,Опыт 1-3 года,не указан,Нет,Деловой центр,аналитик данных,"power bi, power query",
Главный инспектор сводно-аналитической инспекции / Дата-аналитик,Счетная палата Российской Федерации,Не указана,https://hh.ru/vacancy/133220879,Опыт более 6 лет,не указан,Нет,Киевская,аналитик данных,"python, sql, postgresql, mysql, oracle, excel",
Стажер аналитик данных / Intern Data Analyst,Deft,Не указана,https://hh.ru/vacancy/133086985,Без опыта,не указан,Нет,Не указано,аналитик данных,"python, sql, excel",
Аналитик по товародвижению,АО Фруктовая лавка,Не указана,https://hh.ru/vacancy/132094249,Опыт 1-3 года,не указан,Нет,Рассказовка,аналитик данных,"power bi, excel, power query, 1с",
Бизнес-аналитик в отдел анализа эффективности стратегических инициатив,"ПАО ВТБ, Розничный бизнес",Не указана,https://hh.ru/vacancy/133199184,Опыт 1-3 года,не указан,Нет,Деловой центр,аналитик данных,"python, sql, postgresql, hadoop, excel, etl",
Ассортиментный аналитик,ООО Ошейд,Не указана,https://hh.ru/vacancy/133333705,Опыт 3-6 лет,не указан,Нет,Пионерская,аналитик данных,"excel, google sheets",
Дата-сайентист/Аналитик,Сбер. IT,Не указана,https://hh.ru/vacancy/133397504,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,"python, sql, excel, ml",
"Продуктовый аналитик, продукт ""кабинет продавца"", платные сервисы для продавца",Ozon Офис и Коммерция,Не указана,https://hh.ru/vacancy/133324884,Опыт 1-3 года,не указан,Нет,Деловой центр,аналитик данных,"python, sql, clickhouse, power bi, tableau, superset, airflow, git, a/b",
Руководитель отдела аналитики в сфере строительства,ООО Промышленное Строительство,Не указана,https://hh.ru/vacancy/133185518,Опыт 3-6 лет,не указан,Нет,Трубная,аналитик данных,Не найдено,
Аналитик (логистика),СДЭК,Не указана,https://hh.ru/vacancy/132742846,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,"superset, excel, power query, 1с",
"Аналитик данных, финтех",SkillStaff,Не указана,https://hh.ru/vacancy/133220791,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,Не найдено,
Аналитик по защите данных (Data protection),Бэнкс Софт Системс,Не указана,https://hh.ru/vacancy/133355447,Опыт 1-3 года,не указан,Нет,Автозаводская,аналитик данных,1с,
Стажер в направлении налоговой / экономической экспертизы и финансовых расследований,FI Group,Не указана,https://hh.ru/vacancy/133368989,Без опыта,не указан,Нет,Войковская,аналитик данных,excel,
BI аналитик/Аналитик отдела продаж,ООО Космопак Про Трейд,Не указана,https://hh.ru/vacancy/133404823,Опыт 1-3 года,не указан,Нет,Отрадное,аналитик данных,"python, sql, power bi, tableau, qlik, excel, google sheets, power query, etl",
Маркетолог-аналитик,Demis Group,Не указана,https://hh.ru/vacancy/133294941,Опыт 1-3 года,не указан,Да,Не указано,аналитик данных,"python, sql, power bi, superset, excel, pandas",
Аналитик данных,ПроКонтекст,Не указана,https://hh.ru/vacancy/132887378,Опыт 1-3 года,не указан,Нет,Бауманская,аналитик данных,"python, sql, postgresql, mysql, git, pandas, numpy, scikit, matplotlib, api",
Data analyst (GenAI),Сбер. IT,Не указана,https://hh.ru/vacancy/133348516,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,"python, sql, hadoop, spark, pandas, scikit, a/b",
Аналитик маркетплейсов ИП Овчинников Д,Оптович (ООО ОПТ 365),Не указана,https://hh.ru/vacancy/132954479,Опыт 1-3 года,не указан,Да,Не указано,аналитик данных,Не найдено,
Сuстемный аналитик,М.Видео-Эльдорадо. ИТ,Не указана,https://hh.ru/vacancy/133368656,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,"sql, clickhouse, kafka",
