title,company,salary,link,experience,grade,remote,metro,query,skills_found,published_date
Главный аналитик (метрология),ФГБУ НЦЭСМП Минздрава России,Не указана,https://hh.ru/vacancy/132296870,Опыт 3-6 лет,не указан,Нет,Щукинская,аналитик данных,excel,
Финансовый аналитик,ООО Парус электро,Не указана,https://hh.ru/vacancy/130601923,Опыт 1-3 года,не указан,Нет,Царицыно,аналитик данных,"excel, 1с",
Финансовый аналитик,ООО Эста Констракшен,Не указана,https://hh.ru/vacancy/131659537,Опыт 3-6 лет,не указан,Нет,Бауманская,аналитик данных,"excel, 1с",
Аналитик данных,"Волга-Днепр, Группа компаний",Не указана,https://hh.ru/vacancy/133024250,Опыт 1-3 года,не указан,Нет,Курская,аналитик данных,"python, sql, excel, 1с",
Менеджер-аналитик по маркетплейсам Wildberris,ООО Стройснаб,Не указана,https://hh.ru/vacancy/132717141,Опыт 1-3 года,не указан,Да,Библиотека им.Ленина,аналитик данных,excel,
Аналитик по 1С ERP,ОАО ТГЭМ,Не указана,https://hh.ru/vacancy/133021784,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,1с,
Аналитик 1С ERP УХ (РСБУ),Градиент,Не указана,https://hh.ru/vacancy/133403526,Опыт 3-6 лет,не указан,Нет,Сокол,аналитик данных,1с,
"Ведущий Аналитик данных (бизнес, маркетинг, финансы)",ProfiStaff,Не указана,https://hh.ru/vacancy/132140333,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,"sql, excel",
Системный аналитик (с экспертизой 1С),ООО Датаюниверс,Не указана,https://hh.ru/vacancy/132844402,Опыт 1-3 года,не указан,Да,Не указано,аналитик данных,"sql, 1с, api",
Аналитик по эффективности и аудиту банка,"Газтрансбанк, КБ",Не указана,https://hh.ru/vacancy/133258260,Опыт 3-6 лет,не указан,Нет,Пролетарская,аналитик данных,excel,
Аналитик данных (риски),AVO.UZ,Не указана,https://hh.ru/vacancy/133127608,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,"sql, postgresql, airflow",
Анатилик данных,ВкусВилл. Офис,Не указана,https://hh.ru/vacancy/133208201,Опыт 1-3 года,не указан,Да,Не указано,аналитик данных,"sql, power bi, excel, power query, 1с",
Бизнес-аналитик (Департамент Коммерции),RWB (Wildberries & Russ),Не указана,https://hh.ru/vacancy/133372277,Опыт 3-6 лет,не указан,Нет,Новокузнецкая,аналитик данных,"sql, power bi, excel",
Химик-аналитик в отдел контроля качества,АО Фирма ЕВРОСЕРВИС,Не указана,https://hh.ru/vacancy/133397908,Опыт более 6 лет,не указан,Нет,Не указано,аналитик данных,Не найдено,
Продуктовый аналитик (управление наймом и обучением курьеров),Ecom.tech,Не указана,https://hh.ru/vacancy/133395244,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,"python, sql, tableau, airflow, git, ml",
Системный аналитик,Сбер. IT,Не указана,https://hh.ru/vacancy/133273881,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,api,
Младший аналитик в команду антифрода L1,VK,Не указана,https://hh.ru/vacancy/133393436,Опыт 1-3 года,junior,Нет,Аэропорт,аналитик данных,"excel, google sheets",
Бизнес аналитик (профиль клиента B2C),Сбер для экспертов,Не указана,https://hh.ru/vacancy/132534212,Опыт более 6 лет,не указан,Нет,Не указано,аналитик данных,"jira, confluence",
Системный аналитик DWH (Oracle),МТС Банк. IT,Не указана,https://hh.ru/vacancy/133338978,Опыт 3-6 лет,не указан,Да,Технопарк,аналитик данных,"sql, oracle, power bi, excel, airflow, spark",
CRM-аналитик,ЛАНИТ,Не указана,https://hh.ru/vacancy/133256290,Опыт 1-3 года,не указан,Да,Не указано,аналитик данных,"python, sql, excel, google sheets, pandas, 1с",
Главный аналитик (Розничные продукты),RWB (Wildberries & Russ),Не указана,https://hh.ru/vacancy/133349468,Опыт 1-3 года,не указан,Нет,Библиотека им.Ленина,аналитик данных,sql,
Инженер баз данных,ООО Русское молоко,Не указана,https://hh.ru/vacancy/133241438,Опыт 1-3 года,не указан,Нет,Кунцевская,аналитик данных,1с,
Бизнес аналитик/Аналитик экономист,ООО ИК СИБИНТЕК,Не указана,https://hh.ru/vacancy/133272727,Опыт 3-6 лет,не указан,Нет,Беговая,аналитик данных,"python, excel, pandas, numpy",
Бизнес-аналитик отдела коммерции,"МАГНИТ, Розничная сеть. Магазины продуктов",Не указана,https://hh.ru/vacancy/133348770,Опыт 1-3 года,не указан,Нет,Библиотека им.Ленина,аналитик данных,"sql, excel",
Аналитик по автоматизации систем отчетности и визуализации данных,ООО ПСБ Лизинг,Не указана,https://hh.ru/vacancy/132227117,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,"python, sql, excel",
Ведущий аналитик Департамента консолидированных решений и планирования,АНО Агентство по технологическому развитию,Не указана,https://hh.ru/vacancy/132576173,Опыт 3-6 лет,lead,Нет,Не указано,аналитик данных,"python, sql",
Старший системный аналитик (Доставка и опыт курьеров),Ecom.tech,Не указана,https://hh.ru/vacancy/133391056,Опыт более 6 лет,senior,Да,Не указано,аналитик данных,"sql, kafka, api",
Аналитик направления стратегических исследований,Калашников,Не указана,https://hh.ru/vacancy/132375206,Опыт 3-6 лет,не указан,Нет,Академическая,аналитик данных,Не найдено,
Главный аналитик,ООО РУСЭЛ,Не указана,https://hh.ru/vacancy/133271566,Опыт 3-6 лет,не указан,Нет,Деловой центр,аналитик данных,excel,
Маркетолог-аналитик,ООО Ликви Моли Руссланд,Не указана,https://hh.ru/vacancy/133268714,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,1с,
Финансовый аналитик горнодобывающего предприятия,Группа Компаний Мечел,Не указана,https://hh.ru/vacancy/131334221,Опыт 3-6 лет,не указан,Нет,Аэропорт,аналитик данных,excel,
Младший системный аналитик,ООО Фаззи Лоджик Лабс,Не указана,https://hh.ru/vacancy/133324902,Опыт 1-3 года,junior,Да,Проспект Вернадского,аналитик данных,sql,
"Продуктовый аналитик в направление ""Соискатели""",ООО HeadHunter::Продуктовые аналитики,Не указана,https://hh.ru/vacancy/132341347,Опыт 3-6 лет,не указан,Да,Белорусская,аналитик данных,"python, sql, hadoop, tableau, airflow",
Маркетинговый аналитик,Capital Group,Не указана,https://hh.ru/vacancy/132308056,Опыт 3-6 лет,не указан,Нет,Деловой центр,аналитик данных,Не найдено,
Финансовый аналитик (в подразделение хранения и обработки документов),"ПАО ВТБ, Подразделения Поддержки и Контроля",Не указана,https://hh.ru/vacancy/133363606,Опыт 3-6 лет,не указан,Нет,Деловой центр,аналитик данных,Не найдено,
Финансовый аналитик,ООО СК КРЕПОСТЬ,Не указана,https://hh.ru/vacancy/133242082,Опыт 3-6 лет,не указан,Нет,Нижегородская,аналитик данных,"excel, 1с",
Системный аналитик DWH,Neoflex,Не указана,https://hh.ru/vacancy/133305255,Опыт 1-3 года,не указан,Да,Савёловская,аналитик данных,"sql, postgresql, oracle, greenplum, excel, etl",
Маркетолог-аналитик,Группа компаний КАНТ,Не указана,https://hh.ru/vacancy/132731347,Опыт 1-3 года,не указан,Нет,Нагорная,аналитик данных,Не найдено,
Аналитик SOC,RWB (Wildberries & Russ),Не указана,https://hh.ru/vacancy/130556859,Опыт более 6 лет,не указан,Да,Полянка,аналитик данных,python,
Аналитик данных Ozon Travel,Ozon Офис и Коммерция,Не указана,https://hh.ru/vacancy/133138459,Опыт 1-3 года,не указан,Да,Деловой центр,аналитик данных,"python, sql, clickhouse, superset, airflow, pandas, numpy, a/b, ml",
Финансовый аналитик,ПАО ЯТЭК,Не указана,https://hh.ru/vacancy/133233313,Опыт 3-6 лет,не указан,Нет,Павелецкая,аналитик данных,excel,
Ведущий продуктовый аналитик,АО Единая Сервисная Платформа,Не указана,https://hh.ru/vacancy/133297666,Опыт более 6 лет,не указан,Нет,Шаболовская,аналитик данных,"sql, clickhouse, a/b",
Начальник Отдела антифрод-аналитики Департамента информационной безопасности,БАНК МБА-МОСКВА,Не указана,https://hh.ru/vacancy/133033488,Опыт более 6 лет,не указан,Нет,Баррикадная,аналитик данных,sql,
Аналитик отдела закупок,PATRIOT,Не указана,https://hh.ru/vacancy/133303042,Опыт 1-3 года,не указан,Нет,Аэропорт,аналитик данных,"excel, power query, 1с",
"Ведущий системный аналитик (.NET, Backend)",АО ГК Орбита,Не указана,https://hh.ru/vacancy/133368131,Опыт 3-6 лет,не указан,Нет,Верхние Котлы,аналитик данных,"jira, confluence",
Аналитик BI / Аналитик данных,ООО Арлайт РУС,Не указана,https://hh.ru/vacancy/133058949,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,Не найдено,
Стажер в команду управления аналитики,Московский Кредитный Банк. Стажировки,Не указана,https://hh.ru/vacancy/133371354,Без опыта,не указан,Нет,Деловой центр,аналитик данных,"sql, excel",
Технолог - аналитик (тестировщик),Online Reservation System,Не указана,https://hh.ru/vacancy/133301036,Опыт 1-3 года,не указан,Да,Не указано,аналитик данных,sql,
Финансовый аналитик,Делекто,Не указана,https://hh.ru/vacancy/133232488,Опыт 1-3 года,не указан,Нет,Добрынинская,аналитик данных,excel,
Бизнес-аналитик / Аналитик данных (коммерческая аналитика),X5 Digital,Не указана,https://hh.ru/vacancy/132136848,Опыт 1-3 года,не указан,Нет,Добрынинская,аналитик данных,"python, sql, power bi, tableau, superset, looker, excel, pandas, numpy, matplotlib, api",
Руководитель команды аналитиков (Клиентский опыт),X5 Tech,Не указана,https://hh.ru/vacancy/133349562,Опыт более 6 лет,не указан,Да,Добрынинская,аналитик данных,"python, sql, spark, git, ml",
Верификатор \ Кредитный аналитик (юридические лица),ООО Аренза-Про,Не указана,https://hh.ru/vacancy/133349459,Опыт 1-3 года,не указан,Нет,Баррикадная,аналитик данных,Не найдено,
BI-аналитик / Аналитик данных,Absolut POS,Не указана,https://hh.ru/vacancy/133016202,Опыт 3-6 лет,не указан,Нет,Спартак,аналитик данных,"sql, power bi, tableau, metabase, datalens, excel",
"Старший продуктовый аналитик (Купер, Core команда)",Ecom.tech,Не указана,https://hh.ru/vacancy/133373101,Опыт 3-6 лет,senior,Да,Новокузнецкая,аналитик данных,"python, sql, pandas, numpy",
Аналитик по развитию онлайн-сценариев,АО ГК Орбита,Не указана,https://hh.ru/vacancy/133326774,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,sql,
Бизнес-аналитик (со знанием английского языка),Altenar,Не указана,https://hh.ru/vacancy/133373088,Опыт 1-3 года,не указан,Да,Не указано,аналитик данных,Не найдено,
"«Аналитик/Исследователь/Методолог» (Департамент анализа, координации и продуктового развития)","ПАО ВТБ, Средний и малый бизнес",Не указана,https://hh.ru/vacancy/132167927,Опыт 1-3 года,не указан,Нет,Деловой центр,аналитик данных,Не найдено,
Руководитель продуктовой аналитики и исследований,ГКУ Инфогород,Не указана,https://hh.ru/vacancy/133341391,Опыт более 6 лет,не указан,Нет,Не указано,аналитик данных,"sql, postgresql, clickhouse, mysql, airflow, etl",
Финансовый аналитик,Самокат. Офис,Не указана,https://hh.ru/vacancy/133223150,Опыт 1-3 года,не указан,Нет,Новокузнецкая,аналитик данных,"excel, 1с",
Руководитель направления контроля данных/контроль рисков,Альфа-Банк. Центральный офис,Не указана,https://hh.ru/vacancy/133308607,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,Не найдено,
Аналитик данных IT | Стажер,"ООО «РУСАГРО», Группа компаний",Не указана,https://hh.ru/vacancy/133099875,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,Не найдено,
"Бизнес аналитик (офис в ОАЭ, Дубай)",ФосАгро. Офис,Не указана,https://hh.ru/vacancy/131906735,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,"sql, power bi, etl, api",
Бизнес-аналитик,Ситуационно-Информационный Центр Министерства Транспорта Российской Федерации,Не указана,https://hh.ru/vacancy/133222885,Опыт 3-6 лет,не указан,Нет,Электрозаводская,аналитик данных,Не найдено,
Аналитик (отдел обработки первичной документации),ФГБУ НЦЭСМП Минздрава России,Не указана,https://hh.ru/vacancy/131085603,Без опыта,не указан,Нет,Октябрьское поле,аналитик данных,Не найдено,
Аналитик данных/Data Analyst,ФГУП ЦРП,Не указана,https://hh.ru/vacancy/132124399,Опыт 3-6 лет,не указан,Нет,Тверская,аналитик данных,"python, sql, postgresql, mongodb, power bi, tableau, excel, api",
Специалист по контролю цен и ценообразованию (аналитик по контролю цен),ТД ТМХ,Не указана,https://hh.ru/vacancy/132584257,Опыт 3-6 лет,не указан,Нет,Белорусская,аналитик данных,"power bi, excel, power query, 1с",
Аналитик-программист 1С (Переход с УТ 11.5 на ERP),Revyline,Не указана,https://hh.ru/vacancy/131747044,Опыт 3-6 лет,не указан,Нет,Черкизовская,аналитик данных,1с,
Системный аналитик,Ситуационно-Информационный Центр Министерства Транспорта Российской Федерации,Не указана,https://hh.ru/vacancy/133218508,Опыт более 6 лет,не указан,Нет,Электрозаводская,аналитик данных,"sql, postgresql, kafka",
Системный аналитик,АО Азиатско-Тихоокеанский Банк,Не указана,https://hh.ru/vacancy/133220166,Опыт 1-3 года,не указан,Да,Курская,аналитик данных,"jira, confluence, api",
ИТ-аналитик,"Ассоциация волонтерских центров, некоммерческих организаций и институтов общественного развития Добро.рф",Не указана,https://hh.ru/vacancy/133199532,Опыт 1-3 года,не указан,Нет,Деловой центр,аналитик данных,"python, sql, postgresql, clickhouse, greenplum, datalens, excel, airflow, git, jira, confluence, a/b",
Системный аналитик,RWB (Wildberries & Russ),Не указана,https://hh.ru/vacancy/133196583,Опыт 1-3 года,не указан,Да,Не указано,аналитик данных,"sql, api",
Аналитик данных,Ангиофарм,Не указана,https://hh.ru/vacancy/132939732,Без опыта,не указан,Нет,Ботанический сад,аналитик данных,"python, sql, power bi, superset, excel, dbt, pandas, numpy, api",
Бизнес-аналитик направления автопарка,Ситидрайв,Не указана,https://hh.ru/vacancy/133320750,Опыт 3-6 лет,не указан,Нет,Белорусская,аналитик данных,"sql, excel, 1с",
Финансовый аналитик,Т-Банк. Бизнес и процессы. Финансы,Не указана,https://hh.ru/vacancy/130244515,Опыт 1-3 года,не указан,Нет,Белорусская,аналитик данных,sql,
Бизнес-аналитик,Московская объединенная энергетическая компания,Не указана,https://hh.ru/vacancy/133199955,Опыт 3-6 лет,не указан,Нет,Юго-Западная,аналитик данных,"excel, 1с",
Аналитик - тестировщик,КРЕДИТ ЕВРОПА БАНК,Не указана,https://hh.ru/vacancy/133195184,Опыт 1-3 года,не указан,Нет,Пражская,аналитик данных,sql,
Аналитик ЦУП,S7 Group,Не указана,https://hh.ru/vacancy/133195449,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,"python, excel",
Системный аналитик,Ригла,Не указана,https://hh.ru/vacancy/132281405,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,"sql, api",
Бизнес-аналитик (SQL),ООО ИнтерЛабСервис,Не указана,https://hh.ru/vacancy/132246096,Опыт 3-6 лет,не указан,Нет,Новокузнецкая,аналитик данных,"python, sql, power bi, tableau, qlik, excel, power query, 1с",
Старший кредитный аналитик (андеррайтер по ипотеке),Кредитор,Не указана,https://hh.ru/vacancy/133353489,Опыт 1-3 года,senior,Да,Марксистская,аналитик данных,Не найдено,
HR-аналитик,БЮРО 1440,Не указана,https://hh.ru/vacancy/133192125,Опыт 3-6 лет,не указан,Нет,Мнёвники,аналитик данных,"excel, power query",
Бизнес-аналитик,Группа Гута,Не указана,https://hh.ru/vacancy/131520751,Опыт 3-6 лет,не указан,Нет,Полянка,аналитик данных,"sql, datalens",
Маркетолог - аналитик,ООО Научно-внедренческое предприятие Астрафарм,Не указана,https://hh.ru/vacancy/130386873,Опыт 1-3 года,не указан,Нет,Калужская,аналитик данных,"power bi, tableau, qlik, power query, 1с",
Маркетолог-аналитик,Среда Возможностей,Не указана,https://hh.ru/vacancy/132375241,Опыт 3-6 лет,не указан,Нет,Охотный ряд,аналитик данных,Не найдено,
Менеджер аналитик,Bayer,Не указана,https://hh.ru/vacancy/133191962,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,excel,
Ведущий системный аналитик,АО НефтеТрансСервис,Не указана,https://hh.ru/vacancy/133273758,Опыт более 6 лет,не указан,Да,Не указано,аналитик данных,"sql, jira, confluence, api",
Аналитик организационной структуры,"Бренд одежды, обуви и аксессуаров LIMÉ",Не указана,https://hh.ru/vacancy/133272877,Опыт 1-3 года,не указан,Нет,Багратионовская,аналитик данных,"power query, 1с",
Финансовый аналитик,ООО СК МОРВЕННА,Не указана,https://hh.ru/vacancy/133193486,Опыт 3-6 лет,не указан,Нет,Водный стадион,аналитик данных,"power bi, excel, 1с",
Аналитик Excel,Правительство Москвы,Не указана,https://hh.ru/vacancy/133199331,Опыт 1-3 года,не указан,Нет,Фили,аналитик данных,"excel, power query",
Инженер данных DWH в Путешествия,Яндекс Путешествия,Не указана,https://hh.ru/vacancy/133262743,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,"python, sql, airflow, etl, api",
Системный аналитик (BVP),ООО БАЗИС,Не указана,https://hh.ru/vacancy/130578971,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,Не найдено,
Старший финансовый аналитик,Nestle,Не указана,https://hh.ru/vacancy/132298588,Опыт 3-6 лет,senior,Нет,Не указано,аналитик данных,Не найдено,
Аналитик бизнес-процессов (1С) в торгово-производственную компанию (в офисе),ООО ТД ВЕНТЗ,Не указана,https://hh.ru/vacancy/132584673,Опыт 1-3 года,не указан,Нет,Серпуховская,аналитик данных,"excel, 1с",
Старший финансовый аналитик,MANGO OFFICE,Не указана,https://hh.ru/vacancy/132798796,Опыт 3-6 лет,senior,Нет,Воронцовская,аналитик данных,"power bi, tableau, excel",
Аналитик рынка недвижимости,НДВ-СУПЕРМАРКЕТ НЕДВИЖИМОСТИ,Не указана,https://hh.ru/vacancy/132986878,Опыт 1-3 года,не указан,Нет,Аэропорт,аналитик данных,excel,
Аналитик данных,Сбер для экспертов,Не указана,https://hh.ru/vacancy/132933934,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,"python, sql, hadoop, excel",
Системный аналитик (онлайн-банк),ПАО БАНК УРАЛСИБ,Не указана,https://hh.ru/vacancy/133292790,Опыт 3-6 лет,не указан,Да,Калужская,аналитик данных,"confluence, api",
Ведущий инженер (сводная аналитика),ГБУ Дирекция развития объектов здравоохранения города Москвы,Не указана,https://hh.ru/vacancy/133295240,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,excel,
Аналитик данных,Bell Integrator,Не указана,https://hh.ru/vacancy/132926831,Опыт 1-3 года,не указан,Нет,Кутузовская,аналитик данных,"python, sql, a/b",
Стажер Data-аналитик,T2. IT и Digital,Не указана,https://hh.ru/vacancy/133248943,Без опыта,не указан,Нет,Румянцево,аналитик данных,"python, sql, pandas, numpy",
Аналитик данных (метрики курьерской доставки),Ozon Офис и Коммерция,Не указана,https://hh.ru/vacancy/132895915,Опыт 3-6 лет,не указан,Да,Деловой центр,аналитик данных,"python, sql, clickhouse, superset, airflow, kafka, etl",
Аналитик данных,Сбер. IT,Не указана,https://hh.ru/vacancy/132914673,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,"python, sql, postgresql",
Руководитель команды аналитики Авито Работы,АВИТО ТЕХ: аналитика,Не указана,https://hh.ru/vacancy/133324866,Опыт более 6 лет,не указан,Нет,Белорусская,аналитик данных,"python, sql, ml",
Аналитик 1С,Национальный исследовательский ядерный университет МИФИ,Не указана,https://hh.ru/vacancy/133250056,Опыт 3-6 лет,не указан,Нет,Каширская,аналитик данных,1с,
Аналитик по информационным системам,Логика молока. Офис,Не указана,https://hh.ru/vacancy/133288637,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,"excel, jira, confluence, api",
Аналитик данных,Лига Ставок,Не указана,https://hh.ru/vacancy/132911810,Опыт 1-3 года,не указан,Нет,Белорусская,аналитик данных,"sql, excel",
Аналитик данных,ПАО Аэрофлот,Не указана,https://hh.ru/vacancy/132913080,Опыт 1-3 года,не указан,Нет,Александровский сад,аналитик данных,Не найдено,
Системный аналитик РКО,Selecty,Не указана,https://hh.ru/vacancy/133247890,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,"jira, confluence",
Младший рекрутер (аналитик),Правительство Москвы,Не указана,https://hh.ru/vacancy/133040184,Опыт 1-3 года,junior,Нет,Балтийская,аналитик данных,Не найдено,
Ведущий эксперт по рыночной аналитике,АО ОМК,Не указана,https://hh.ru/vacancy/133311493,Опыт 3-6 лет,не указан,Нет,Новокузнецкая,аналитик данных,"power bi, excel",
Маркетинговый аналитик (промо и лояльность),Купер Развитие,Не указана,https://hh.ru/vacancy/133090931,Опыт 3-6 лет,не указан,Нет,Новокузнецкая,аналитик данных,"python, sql, pandas, a/b",
Аналитик данных/ разработчик SQL,Межрегиональный Информационный Центр Фонда Пенсионного и Социального Страхования Российской Федерации,Не указана,https://hh.ru/vacancy/129302667,Опыт 3-6 лет,не указан,Нет,Савёловская,аналитик данных,"python, sql, postgresql, excel",
Продуктовый аналитик (операционные процессы дарксторов),Ecom.tech,Не указана,https://hh.ru/vacancy/133291901,Опыт 3-6 лет,не указан,Да,Новокузнецкая,аналитик данных,"python, sql, tableau, airflow, git, ml",
"Аналитик SQL (БКИ, 218-ФЗ)",КРЕДИТ ЕВРОПА БАНК,Не указана,https://hh.ru/vacancy/133288350,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,sql,
"Аналитик закупок и отгрузок на маркетплейсах (Вайлдберриз, Озон)",ООО Проектная Компания Антанда,Не указана,https://hh.ru/vacancy/133364184,Опыт 1-3 года,не указан,Да,Алма-Атинская,аналитик данных,"excel, api",
Аналитик-программист 1С:ЗУП (Ведущий инженер),АО ЦНИИАГ,Не указана,https://hh.ru/vacancy/131806870,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,1с,
Старший аналитик в отдел контроллинга,АО Развитие,Не указана,https://hh.ru/vacancy/132415842,Без опыта,senior,Нет,Белорусская,аналитик данных,"power bi, excel",
Менеджер по аналитике ИТ инфраструктуры (BI-аналитик),ООО Транснефть-Технологии,Не указана,https://hh.ru/vacancy/133243347,Опыт 3-6 лет,не указан,Нет,Деловой центр,аналитик данных,Не найдено,
BI Аналитик (аналитик B2B продаж),ООО ТехноГрупп,Не указана,https://hh.ru/vacancy/133248051,Опыт 3-6 лет,не указан,Нет,Добрынинская,аналитик данных,"sql, power bi, superset, excel, etl",
Бизнес-аналитик 1С (ЗУП),АО Системы Коммуникаций,Не указана,https://hh.ru/vacancy/132731147,Опыт 3-6 лет,не указан,Нет,Марьина Роща,аналитик данных,"1с, api",
BI-аналитик данных | Стажер,"ООО «РУСАГРО», Группа компаний",Не указана,https://hh.ru/vacancy/132983811,Без опыта,не указан,Нет,Добрынинская,аналитик данных,"power bi, excel",
Аналитик (Управление количественной оценки рисков),"ПАО ВТБ, Подразделения Поддержки и Контроля",Не указана,https://hh.ru/vacancy/133295504,Опыт 1-3 года,не указан,Нет,Деловой центр,аналитик данных,"python, sql",
Бизнес-аналитик (Государственные информационные системы),ПАО Ростелеком,Не указана,https://hh.ru/vacancy/133302031,Опыт 3-6 лет,не указан,Нет,Деловой центр,аналитик данных,Не найдено,
Финансовый аналитик в дочернюю компанию,АФК Система,Не указана,https://hh.ru/vacancy/133297930,Опыт 1-3 года,не указан,Нет,Охотный ряд,аналитик данных,"excel, 1с",
Главный аналитик Data Quality,ООО СК «Росгосстрах Жизнь»,Не указана,https://hh.ru/vacancy/132830228,Опыт 3-6 лет,не указан,Да,Киевская,аналитик данных,sql,
Бизнес-аналитик 1С (кадры),АО Системы Коммуникаций,Не указана,https://hh.ru/vacancy/131553261,Опыт 3-6 лет,не указан,Нет,Савёловская,аналитик данных,"1с, api",
Data Scientist (аналитика клиентов / CRM),ООО А7-Агент,Не указана,https://hh.ru/vacancy/133297898,Опыт 3-6 лет,не указан,Нет,Кутузовская,аналитик данных,a/b,
Аналитик Битрикс24 (Руформ Тех),RUTUBE,Не указана,https://hh.ru/vacancy/131177998,Опыт 1-3 года,не указан,Нет,Аэропорт,аналитик данных,"sql, jira, api",
Системный аналитик CRM / Аналитик Битрикс24,Группа компаний Астра,Не указана,https://hh.ru/vacancy/133224136,Опыт 3-6 лет,не указан,Да,Бутырская,аналитик данных,"sql, api",
Ведущий бизнес/системный аналитик,"X5, Медиа",Не указана,https://hh.ru/vacancy/131680383,Опыт 3-6 лет,не указан,Да,Добрынинская,аналитик данных,"kafka, api",
Ведущий аналитик отдела аналитики и тарифов,ЭкоЛайн,Не указана,https://hh.ru/vacancy/132811308,Опыт 1-3 года,не указан,Нет,Беговая,аналитик данных,"excel, 1с",
Ведущий аналитик 1С,АО Газпромбанк Лизинг,Не указана,https://hh.ru/vacancy/131996638,Опыт 3-6 лет,не указан,Нет,Автозаводская,аналитик данных,1с,
Аналитик (БА/СА),Notamedia,Не указана,https://hh.ru/vacancy/133211154,Опыт 3-6 лет,не указан,Нет,Алексеевская,аналитик данных,"sql, api",
Аналитик,БУРГЕР КИНГ РОССИЯ,Не указана,https://hh.ru/vacancy/133037707,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,Не найдено,
Systems analyst/Системный аналитик,ООО НТЦ Вулкан,Не указана,https://hh.ru/vacancy/133247335,Опыт 1-3 года,не указан,Нет,Преображенская площадь,аналитик данных,"sql, api",
Аналитик ETL (Команда DataTEAM),Сбер. IT,Не указана,https://hh.ru/vacancy/133240112,Опыт 1-3 года,не указан,Нет,Не указано,аналитик данных,"sql, hadoop, spark, kafka, etl",
Продуктовый аналитик (команда A/B платформы),Циан,Не указана,https://hh.ru/vacancy/133063723,Опыт 3-6 лет,не указан,Да,Электрозаводская,аналитик данных,"python, sql, tableau, airflow, pandas, numpy, matplotlib, a/b, ml",
Аналитик,АО НПФ ВТБ Пенсионный Фонд,Не указана,https://hh.ru/vacancy/132622946,Опыт 3-6 лет,не указан,Нет,Беговая,аналитик данных,Не найдено,
Портфельный аналитик (Микро и Малый бизнес),Сбер. Data Science,Не указана,https://hh.ru/vacancy/133305838,Опыт 3-6 лет,не указан,Нет,Не указано,аналитик данных,"python, sql, pandas, numpy",
Системный аналитик / System analyst,Aston,Не указана,https://hh.ru/vacancy/133260440,Опыт 3-6 лет,не указан,Да,Не указано,аналитик данных,"1с, jira, confluence",
Аналитик 1С ERP (оперативный контур),Группа Компаний Мечел,Не указана,https://hh.ru/vacancy/132301115,Опыт 1-3 года,не указан,Да,Не указано,аналитик данных,1с,
Аналитик системы премирования,ООО СК «Росгосстрах Жизнь»,Не указана,https://hh.ru/vacancy/132483067,Опыт 1-3 года,не указан,Нет,Киевская,аналитик данных,excel,
"Аналитик данных, Группа аналитики по рискам B2B, Ozon Bank",Ozon Банк,Не указана,https://hh.ru/vacancy/132176547,Опыт 1-3 года,не указан,Да,Не указано,аналитик данных,"python, sql, postgresql, clickhouse, power bi, tableau, superset, airflow, a/b, etl, ml",
Data Scientist/Аналитик,ООО Совкомбанк Лизинг,Не указана,https://hh.ru/vacancy/133182962,Опыт 1-3 года,не указан,Нет,Марксистская,аналитик данных,"python, sql, excel, ml",
Системный аналитик (СПР),СберЛизинг,Не указана,https://hh.ru/vacancy/133212578,Опыт 1-3 года,не указан,Нет,Кутузовская,аналитик данных,"postgresql, kafka, jira, confluence, api",
Аналитик данных,ИП Магер Анастасия Степановна,Не указана,https://hh.ru/vacancy/132810877,Опыт 3-6 лет,не указан,Да,Библиотека им.Ленина,аналитик данных,"python, sql, clickhouse, excel, google sheets, pandas, api",
Аналитик 1С (1С:Документооборот),ООО Компьютерные Технологии,Не указана,https://hh.ru/vacancy/133322716,Опыт 3-6 лет,не указан,Да,Библиотека им.Ленина,аналитик данных,1с,
